id_document,isbn,titre,auteur,genre,support,annee_publication,code_site,prix_achat
158,9789774321927,Le dernier train I,Delphine de Vigan,BD,Livre,1998,MED-LIL,24.84
104,9787311454344,Le fil rouge,Emmanuel Lepage,Poesie,Livre numerique,2035,MED-ROU,9.52
62,9788059196956,Ceux qui restent,Pierre Lemaitre,Roman,Livre,1999,MED-TOU,15.53
152,9787039811397,Sous les branches,Emmanuel Lepage,Essai,Livre,2017,MED-TOU,39.25
11,9789866080176,Rivages II,Herve Le Tellier,Essai,Livre,2011,MED-LIL,13.19
66,9781922746587,Rivages volume 3,Jean-Paul Dubois,Documentaire,Livre,2018,MED-VIL,25.57
84,9785472282227,Les hautes collines tome 2,Leila Slimani,BD,Livre,2011,MED-ROU,35.87
260,9781908981620,Le bruit du temps,Riad Sattouf,Documentaire,Livre,2012,MED-TOU,11.16
161,9785746469631,Les jours heureux,VIRGINIE DESPENTES,Documentaire,Livre,2020,MED-LIL,8.67
109,9787468332405,Le dernier train volume 3,Emmanuel Lepage,Poesie,Livre numerique,2005,MED-VIL,26.27
189,9788249552852,La maison vide volume 3,Herve Le Tellier,BD,Livre,2014,MED-ROU,35.37
341,9786999443467,Les corps flottants,Alice Zeniter, BD ,Livre,2009,MED-VIL,42.93
147,9785235728542,La part du fleuve II,Jean-Paul Dubois,Roman,Livre,2006,MED-LIL,34.73
394,9788085911582,Terres promises,Pierre Lemaitre,Documentaire,DVD,2022,MED-LIL,35.37
403,9786550070565,L'atelier des jours I,Leila Slimani,Documentaire,Livre,2011,MED-ARM,21.18
142,9789709024893,Le chant des vivants tome 2,Emmanuel Lepage,Poesie,Livre,2004,MED-TOU,25.21
207,9787723310700,Le bruit du temps,Marjane Satrapi,Essai,Livre,2001,MED-TOU,31.76
40,9782763248246,Comme un lundi II,Jean-Paul Dubois,Roman,Livre,2018,MED-ARM,33.24
219,9782283470907,Sous les branches,Leila Slimani,Essai,CD,2023,MED-ROU,14.01
145,9785384270331,Les hautes collines I,Jean-Paul Dubois,Roman,CD,2018,MED-ARM,7.06
73,9783161499727,Terres promises I,Emmanuel Lepage,Policier,Livre,2003,MED-SEC,22.61
295,9784820753883,Les corps flottants,ZEP,Manga,Livre,2010,MED-LIL,41.55
289,9789960665230,Reparer les vivants I,Leila Slimani,Essai,Livre,2014,MED-LIL,15.48
180,9782376824172,L'atelier des jours volume 3,Fred Vargas,Documentaire,Livre numerique,,MED-SEC,19.8
186,9787481547040,Le bruit du temps,Marjane Satrapi,Policier,Livre numerique,1998,MED-ROU,20.31
228,9784552778580,Terres promises volume 3,Riad Sattouf,Jeunesse,Livre,2024,MED-VIL,29.78
416,9789753631653,Le bruit du temps II,Catherine Meurisse,Jeunesse,Livre,2013,MED-LIL,34.97
325,9789153143315,Les jours heureux volume 3,Fred Vargas,Essai,Livre,2002,MED-ROU,17.45
61,9786760693957,Rivages,Delphine de Vigan,Poesie,DVD,2013,MED-VIL,15.59
340,9782889238904,Nord perdu I,Leila Slimani,Documentaire,CD,2021,MED-SEC,22.34
378,9782180242503,L'atelier des jours,Alice Zeniter,Policier,DVD,2008,MED-SEC,43.93
208,9787957377071,Nord perdu,Pierre Lemaitre,BD,Livre,2022,MED-VIL,17.12
2,9785716095802,Le chant des vivants,Maylis de Kerangal,Essai,CD,2001,MED-TOU,13.8
206,9783535027792,L'anomalie volume 3,Catherine Meurisse,BD,Livre,2020,MED-LIL,14.19
285,9787918739538,L'atelier des jours volume 3,Catherine Meurisse,BD,Livre,2007,MED-TOU,19.65
417,9785653574079,Rivages,Delphine de Vigan,Documentaire,CD,2007,MED-SEC,35.63
58,9788001526225,Terres promises II,Fred Vargas,Documentaire,DVD,2023,MED-LIL,44.31
212,9785415059846,Ceux qui restent,Riad Sattouf, Jeunesse ,CD,1999,MED-ARM,18.28
27,9786415345180,L'anomalie tome 2,Fred Vargas,Roman,Livre,2003,MED-TOU,21.87
123,9787850213628,Les corps flottants II,Marjane Satrapi,Poesie,CD,2017,MED-SEC,
406,9782035007608,Les jours heureux II,Riad Sattouf,Poesie,Livre numerique,2024,MED-LIL,8.3
114,9783764439032,Mille soleils,Emmanuel Lepage,Documentaire,Livre numerique,2001,MED-ARM,39.46
55,9783219168164,L'atelier des jours,Virginie Despentes,Poesie,CD,2025,MED-TOU,7.87
258,9788135119905,Terres promises tome 2,Fred Vargas,Poesie,Livre numerique,2007,MED-SEC,40.0
184,9781107533914,Le bruit du temps I,Pierre Lemaitre,Poesie,Livre,1999,MED-ROU,9.8
30,9786375484724,Une saison douce,Herve Le Tellier,Poesie,Livre,2019,MED-SEC,33.75
405,9789034182505,Sous les branches tome 2,Pierre Lemaitre,Roman,Livre,1998,MED-ROU,27.84
245,9783055974546,Le dernier train,Leila Slimani,BD,CD,2013,MED-VIL,16.19
